structure_group_id_v1,structure_group_size,molecule_ids_numeric_sorted,unique_donor_ids,donor_ids_numeric_sorted,unique_acceptor_ids,acceptor_ids_numeric_sorted,unique_donor_structures,unique_acceptor_structures,unique_role_aware_groups,role_annotation_consistent,atom_count_consistent,sidecar_atom_origin_consistent,dft_pdb_json_geometry_consistent,d81_a28_conflict_in_group,geometry_reference_id,geometry_resolved_comparisons,geometry_unresolved_comparisons,geometry_mapping_methods,heavy_atom_rmsd_min_angstrom,heavy_atom_rmsd_max_angstrom,geometry_unresolved_reasons,primary_range_eV,meaningful_target_disagreement_count,representative_eligible_under_strict_rule
61a683297a30438dc10d1aac17c0b46ffdf76024207c7cb95d3ecd58d5e354d6,2,D20_A185;D20_A186,1,D20,2,A185;A186,1,2,2,False,True,True,True,False,D20_A185,1,0,RESOLVED_INDEX_GRAPH,0.0003405920256216224,0.0003405920256216224,,0.0001540000000000985,4,False
620361875cc02ee2db2a45684323db5ff024b02a8b744a7b03c932c127a214c3,2,D60_A185;D60_A186,1,D60,2,A185;A186,1,2,2,False,True,True,True,False,D60_A185,1,0,RESOLVED_INDEX_GRAPH,0.00024301170342738723,0.00024301170342738723,,0.00018257142857147635,6,False
6238d52f504667e39f9ba03c2c78be5102e81b3c24d80e05d2159745b65cf132,2,D52_A10;D53_A10,2,D52;D53,1,A10,2,1,2,False,True,True,True,False,D52_A10,1,0,RESOLVED_INDEX_GRAPH,0.0021311527141689122,0.0021311527141689122,,0.0007391428571428271,10,False
62c5f63264f75e19cced812c5aaa08aba57dd0571852ef1b284d362321aac1bc,2,D49_A23;D49_A30,1,D49,2,A23;A30,1,2,2,False,True,True,True,False,D49_A23,1,0,RESOLVED_INDEX_GRAPH,0.0005281286204359203,0.0005281286204359203,,0.00035399999999996545,10,False
62c660184bdbdf629f3c9c2f9ace876541f75d6c780dc3313ccf46433323afb7,2,D52_A22;D53_A22,2,D52;D53,1,A22,2,1,2,False,True,True,True,False,D52_A22,1,0,RESOLVED_INDEX_GRAPH,0.001426492254205163,0.001426492254205163,,0.0010365714285714978,12,False
6343749a449b4911f293a6e3916f02307f7279f7713dd68f2956737ca7ec4b51,2,D147_A185;D147_A186,1,D147,2,A185;A186,1,2,2,False,True,True,True,False,D147_A185,1,0,RESOLVED_INDEX_GRAPH,0.003151702903603953,0.003151702903603953,,0.002251428571428571,13,False
637e3f9861fcc7119e1cc6cfe8309b87df98238ca0220b4f3083db334859cc57,2,D16_A182;D16_A187,1,D16,2,A182;A187,1,2,2,False,True,True,True,False,D16_A182,1,0,RESOLVED_INDEX_GRAPH,0.0008210590607365864,0.0008210590607365864,,2.485714285727081e-05,8,False
63bd0e6996a7b775e5f2fc0d3124072fbefa754f1bfbbab44e5c7598b8e1469f,2,D71_A185;D71_A186,1,D71,2,A185;A186,1,2,2,False,True,True,True,False,D71_A185,1,0,RESOLVED_INDEX_GRAPH,0.003174908250204216,0.003174908250204216,,0.00026799999999993496,12,False
643f8cb7cd8198b9a482e2a480f0a07328e60b2aeb9b500c2dea172b98a4e87d,2,D91_A13;D91_A14,1,D91,2,A13;A14,1,1,1,True,True,True,True,False,D91_A13,1,0,RESOLVED_INDEX_GRAPH,0.0007927312748795372,0.0007927312748795372,,0.0005922857142857119,11,False
646843518c22470ef88a06cab718fb0efda7c4757a4150dc030a8d1710c25862,2,D41_A353;D42_A353,2,D41;D42,1,A353,1,1,1,True,True,True,True,False,D41_A353,1,0,RESOLVED_INDEX_GRAPH,0.00020055904326625294,0.00020055904326625294,,0.0,1,False
668ab848aba3cb6ca6e1cf8808921174d9924d888634cee02e1e6e11dd7f20d6,2,D19_A274;D19_A277,1,D19,2,A274;A277,1,1,1,True,True,True,True,False,D19_A274,1,0,RESOLVED_INDEX_GRAPH,0.0007362589744121854,0.0007362589744121854,,0.002026285714285758,14,False
66ba03e490918d714ff0ecc7d03c840ad5c6e0a5e3c51a331d5724c15e303f81,2,D13_A185;D13_A186,1,D13,2,A185;A186,1,2,2,False,True,True,True,False,D13_A185,1,0,RESOLVED_INDEX_GRAPH,0.0005630789749558627,0.0005630789749558627,,4.71428571428012e-05,5,False
66f6542d43332f2e333cd8fe06338507744006a29fead59f194bfe884a2b9859,2,D52_A234;D53_A234,2,D52;D53,1,A234,2,1,2,False,True,True,True,False,D52_A234,1,0,RESOLVED_INDEX_GRAPH,1.9767327576827205,1.9767327576827205,,0.07621314285714281,16,False
67924c839022fc69f9147d8dd2071cd85348e731d91861b00fe2989e2ef02617,2,D16_A185;D16_A186,1,D16,2,A185;A186,1,2,2,False,True,True,True,False,D16_A185,1,0,RESOLVED_INDEX_GRAPH,0.0005543987876838927,0.0005543987876838927,,7.057142857136434e-05,9,False
697accaef312bb96c1e41d2e5bce4772490d8fda7bab9c07ecbe17c8d738611e,2,D39_A182;D39_A187,1,D39,2,A182;A187,1,2,2,False,True,True,True,False,D39_A182,1,0,RESOLVED_INDEX_GRAPH,0.0003037199866240525,0.0003037199866240525,,1.4571428571474865e-05,6,False
6aa4b574b76820f346a726689ab285dc66b0c9927232f790a843af16389c8b26,2,D52_A44;D53_A44,2,D52;D53,1,A44,2,1,2,False,True,True,True,False,D52_A44,1,0,RESOLVED_INDEX_GRAPH,2.36528246784124,2.36528246784124,,0.0856068571428571,15,False
