entity_type,entity_group_id_v1,record_count
donor_structure,a6eeba1422c1a61ecbc7eb86b5a9a516842ebd83b707b8d895bb6e6b7b1139e9,101
donor_structure,a87c0d4f988ad08de86defb7e8a3aa300f4c278d248be7f41349d050a7d1606a,97
donor_structure,a9818279d47cf00449af43320088ddb647c1b1f34b714a60cfd26d228eb701f6,73
donor_structure,ae6b5430f368e04d00fd462c4086952f4eca8a47c8b01b7dd5835f999353bb43,114
donor_structure,af1f961298be003c194b35bd53480c8467cfc270504e79716d9d8aa31c397b4e,142
donor_structure,b2a07541098c8a55b5e543f538960bb2c36a0bcc5ca18e0948b36a8f81c62b84,36
donor_structure,b494a3a3694d1a34180bd9ef2b49622a1e67a734386b781d91737aa28eeeaf6c,33
donor_structure,b9076a8f26fe2390166c09a58c2312d9f724a7a713d25f875f68ea3442b099e3,45
donor_structure,b934a4c5b8a4c9db99eb7e85172b22f91d9e3ef65307ea32e3c28a36453ebd5d,180
donor_structure,b9b11e801a13cccb12b8031db98ae41df43370b22d8f47cc2480d2af8834804e,123
donor_structure,ba22a5effd700b899c15de18d015ad18cb6ab75e52cbdc45064b4ac96c521823,126
donor_structure,be0c0109b451fd627f8533ae096ba3a77d7e10823c597e7d807497c5fdf0bf84,40
donor_structure,c126a1a0c7359375c0d70798d9d2051013cbdeab5632cb0ae8f07b1a87e4666e,96
donor_structure,c20b49aa370ea5fbf2786ecd07354adccf015f109812c8d046a9f39db6997fb4,192
donor_structure,c2be8b307419d6928cc63cc45848ef6674632744067d25360bb694187eb86e72,32
donor_structure,c5dcddf1b44c48b3471449e40d4a0a2e01f822ace27eadcf5cad4a7841af6bc4,60
donor_structure,c753224b097e1c429702808287ba888e14fcbc169d0b7fdd923944e1391354c0,91
donor_structure,c83135c2348ac6922363780f60b45f6b42ec78299e2fb532e3f7e1bf7bf8c5a0,54
donor_structure,ca2ffaffa3a16679e5286b8779c57783ba8de907fdea49ebf414891378f40693,57
donor_structure,cc550fe42c735aaf288082cef179186002411e91e4caf3677b1910722893d402,72
donor_structure,cdcb97610d56233f04e7c53a65a1e441a85f53ae8d3037eebcd69032a33b1a83,40
donor_structure,ce54ba29d08ff8c10b35be0db3fc9a7041580c6a4dedc254810d2ddf080538db,145
donor_structure,d243191fb786555ede950cddff1f240fb1334d79dc8ec66ae6fccae3b5380c73,61
donor_structure,d4de9f6719d0d97411a7d796502c18408ade732d55be9cd920f8788ed6cdbdb8,93
