structure_group_id_v1,structure_group_size,target,target_role,non_null_count,meaningful_tolerance,min,max,range,mean,std_population,maximum_absolute_deviation,exact_consistency,allclose_consistency,meaningful_disagreement
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_coulomb_attraction_au,secondary,2,1e-05,0.046009,0.046579,0.0005700000000000011,0.046294,0.00028500000000000053,0.00028500000000000053,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_coulomb_attraction_eV,secondary,2,0.001,1.251979,1.267466,0.015487000000000029,1.2597225,0.007743500000000014,0.007743500000000125,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_Sm,secondary,2,1e-05,0.13932,0.14524,0.005920000000000009,0.14228000000000002,0.0029600000000000043,0.002960000000000018,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_Sr,secondary,2,1e-05,0.38696,0.39903,0.01206999999999997,0.392995,0.006034999999999985,0.006035000000000013,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_D_index_angstrom,secondary,2,0.001,12.8,12.876,0.07599999999999874,12.838000000000001,0.03799999999999937,0.038000000000000256,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_H_CT_angstrom,secondary,2,0.001,3.886,3.93,0.04400000000000004,3.9080000000000004,0.02200000000000002,0.02200000000000024,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_t_index_angstrom,secondary,2,0.001,8.87,8.989,0.11900000000000155,8.9295,0.059500000000000774,0.05950000000000166,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_HDI,secondary,2,0.001,4.64,4.7,0.0600000000000005,4.67,0.03000000000000025,0.03000000000000025,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_EDI,secondary,2,0.001,5.3,5.32,0.020000000000000462,5.3100000000000005,0.010000000000000231,0.010000000000000675,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_Q_D_to_A_au,secondary,2,1e-05,-0.003795,-0.003794,1.0000000000001327e-06,-0.0037945,5.000000000000664e-07,5.000000000000664e-07,False,False,False
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_dipole_change_norm_au,secondary,2,0.001,24.186771,24.287994,0.10122300000000095,24.237382500000002,0.050611500000000476,0.05061150000000225,False,False,True
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_hole_on_donor_fraction,masked_auxiliary,1,1e-05,0.9702818627450982,0.9702818627450982,0.0,0.9702818627450982,0.0,0.0,True,True,False
