structure_group_id_v1,deterministic_representative_molecule_id,selection_rule,strict_representative_eligible,role_consistent,geometry_fully_resolved,sidecar_consistent,meaningful_target_disagreement_count
5f7f36c77b949a3c76b09c76c033f205e90c5b45f66549cc8ed77144f59e97d6,D156_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
5fed2b36a80cd8a89c5ae79350d4dc14708f2341d25c774882955775c9a70af8,D56_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,8
60875a619d75f5c2fed9dcc7faeb2162f3e7d25c8b0b070ff88cf68fc1142052,D41_A228,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,13
60aab95571d26995815068b526fdd1b773181d080b6cfe98442a887b717adb2d,D55_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,17
61212d8414798eb960b628122072fa835c2a0cf1dae6b276a6e05ac7b5c0c5a5,D52_A9,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,10
61a28675c78478b153a65198b2ae0f7aa882260b2e3c72747a89d4ea368c9831,D52_A34,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,10
61a683297a30438dc10d1aac17c0b46ffdf76024207c7cb95d3ecd58d5e354d6,D20_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,4
620361875cc02ee2db2a45684323db5ff024b02a8b744a7b03c932c127a214c3,D60_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,6
6238d52f504667e39f9ba03c2c78be5102e81b3c24d80e05d2159745b65cf132,D52_A10,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,10
62c5f63264f75e19cced812c5aaa08aba57dd0571852ef1b284d362321aac1bc,D49_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,10
62c660184bdbdf629f3c9c2f9ace876541f75d6c780dc3313ccf46433323afb7,D52_A22,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,12
6343749a449b4911f293a6e3916f02307f7279f7713dd68f2956737ca7ec4b51,D147_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,13
637e3f9861fcc7119e1cc6cfe8309b87df98238ca0220b4f3083db334859cc57,D16_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,8
63bd0e6996a7b775e5f2fc0d3124072fbefa754f1bfbbab44e5c7598b8e1469f,D71_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,12
643f8cb7cd8198b9a482e2a480f0a07328e60b2aeb9b500c2dea172b98a4e87d,D91_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,11
646843518c22470ef88a06cab718fb0efda7c4757a4150dc030a8d1710c25862,D41_A353,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,1
668ab848aba3cb6ca6e1cf8808921174d9924d888634cee02e1e6e11dd7f20d6,D19_A274,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,14
66ba03e490918d714ff0ecc7d03c840ad5c6e0a5e3c51a331d5724c15e303f81,D13_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,5
66f6542d43332f2e333cd8fe06338507744006a29fead59f194bfe884a2b9859,D52_A234,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,16
67924c839022fc69f9147d8dd2071cd85348e731d91861b00fe2989e2ef02617,D16_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,9
697accaef312bb96c1e41d2e5bce4772490d8fda7bab9c07ecbe17c8d738611e,D39_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,6
6aa4b574b76820f346a726689ab285dc66b0c9927232f790a843af16389c8b26,D52_A44,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,15
6af254445f773a918a9b1a81600480866bb8cdd5f2a672a544a97a7dec0e6d5e,D20_A274,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,8
6b2deb89122dc3707b99cd5837bce7bbd1383af655f49d22a0997d5b7c17a699,D130_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,13
6b655a7114466dc8b2057d845cb9633738c57662483ee87e19a377ea47aacbab,D83_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,12
6b7dcace3e8ead9ddde499526a7c9226b28f1a40a8f75ab9a339808bd97c0de4,D70_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,15
6f112aae7a9fdaaf841413d20c4d6eb5f4a7a2eda4d83a7ed495f013bc82b409,D87_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,4
6f18febb31e7061ed174a9ca348c600d6bb954e15dbad5a681483adbc17c8f46,D41_A352,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,16
70ff85ac758a60a93ce50c5a693ef0007a182eca9c1770588596859f095ab531,D144_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,11
71394c77871322e88df8153c4bcd3f85187f66e2ed28ccbde43e5e12b378d694,D52_A122,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,20
721b882d5434a87d32d3f83e687c93dcd56ca85fe6d522abc154fa844cae3f81,D65_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,8
729e2183d6b98630f2c214d111d00674a71e9fb8a364d72b3678240a10300b56,D52_A308,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,16
