arm,fold,inference_wall_seconds,path,protocol,sha256,training_wall_seconds
xgb_c0_blind,0,0.031429972033947706,runs/gate2g1c_unified_2d/models/scaffold_cold_5fold/xgb_c0_blind/fold0/model.json,scaffold_cold_5fold,1579df42083904af251f09032dc97475b4ae71e7e347d65cd5dd051bd000da62,1.0395016293041408
xgb_c0_blind,1,0.04576982604339719,runs/gate2g1c_unified_2d/models/scaffold_cold_5fold/xgb_c0_blind/fold1/model.json,scaffold_cold_5fold,cbe8d70e0ddbc2cc06044aa484ff232049621caeab6aa10516df0613b7f48f08,1.0206417059525847
xgb_c0_blind,2,0.03154259268194437,runs/gate2g1c_unified_2d/models/scaffold_cold_5fold/xgb_c0_blind/fold2/model.json,scaffold_cold_5fold,cf44fdfdb64e7163aa16feae927ded664de809d60a5edf63d65eb550031d3c5e,1.0825448669493198
xgb_c0_blind,3,0.03641457296907902,runs/gate2g1c_unified_2d/models/scaffold_cold_5fold/xgb_c0_blind/fold3/model.json,scaffold_cold_5fold,ad613303692ac06a674900ff40dcbb0d49ece86acc2f306d3fa3a0636049bfa6,1.1338956449180841
xgb_c0_blind,4,0.03904384979978204,runs/gate2g1c_unified_2d/models/scaffold_cold_5fold/xgb_c0_blind/fold4/model.json,scaffold_cold_5fold,4b84253a40276250b35ae44953c9dcbfa65aa5e0128b7aa46b7696921c7afb82,1.1516825458966196
xgb_c0_observable_provenance,0,0.04431106196716428,runs/gate2g1c_unified_2d/models/scaffold_cold_5fold/xgb_c0_observable_provenance/fold0/model.json,scaffold_cold_5fold,97e213d3949874a178b34a713e0650aa63ed0511a6b4d995d074e6499419a9d2,1.1598215950652957
xgb_c0_observable_provenance,1,0.03256094362586737,runs/gate2g1c_unified_2d/models/scaffold_cold_5fold/xgb_c0_observable_provenance/fold1/model.json,scaffold_cold_5fold,feedfeb3b8354c6391750c55f1c17176faeefd480d8055cd3747ffd706ec71f7,1.1601146357133985
xgb_c0_observable_provenance,2,0.031099010724574327,runs/gate2g1c_unified_2d/models/scaffold_cold_5fold/xgb_c0_observable_provenance/fold2/model.json,scaffold_cold_5fold,954ac732db050153891e6b041e95ca14d7fce3b1d2b03c57c99586f9f1a7a505,1.0462330537848175
xgb_c0_observable_provenance,3,0.04329778999090195,runs/gate2g1c_unified_2d/models/scaffold_cold_5fold/xgb_c0_observable_provenance/fold3/model.json,scaffold_cold_5fold,2a959ca939fc85baad8e1e97afe6cdbd21061a2bfed2ca763b3183bcbf3a4a79,1.1148324408568442
xgb_c0_observable_provenance,4,0.04617287591099739,runs/gate2g1c_unified_2d/models/scaffold_cold_5fold/xgb_c0_observable_provenance/fold4/model.json,scaffold_cold_5fold,88a3043cef1741beffdceadc5436c5c85b08d472075ac4f6bba03a9d059a74d3,1.1593542536720634
xgb_c0_blind,0,0.0,runs/gate2g1c_unified_2d/models/leave_one_cohort_out_new15016/xgb_c0_blind/holdout/model.json,leave_one_cohort_out_new15016,3ef5a584f099ecf6896b0c198e234afa06bf6e0a44b99d2d0743c9db92360811,0.9564790283329785
xgb_c0_observable_provenance,0,0.0,runs/gate2g1c_unified_2d/models/leave_one_cohort_out_new15016/xgb_c0_observable_provenance/holdout/model.json,leave_one_cohort_out_new15016,9b7e4c5355682dfba510c1b21c9ce13dc8b946195b4c83d4b2234691cb1f3665,1.0977798020467162
xgb_c0_blind,0,0.0,runs/gate2g1c_unified_2d/models/leave_one_cohort_out_old7316/xgb_c0_blind/holdout/model.json,leave_one_cohort_out_old7316,7b82cc41f8952260cdabf73bb98b316ed28c86157a9a14abf4150d77dd1e44b4,1.0751257608644664
xgb_c0_observable_provenance,0,0.0,runs/gate2g1c_unified_2d/models/leave_one_cohort_out_old7316/xgb_c0_observable_provenance/holdout/model.json,leave_one_cohort_out_old7316,c69aae28e5de0eb9205312c73dca878add5cde794de50b6e56ce78bb74757fa9,1.0858560749329627
xgb_c0_blind,0,0.0,runs/gate2g1c_unified_2d/models/leave_one_cohort_out_external2698/xgb_c0_blind/holdout/model.json,leave_one_cohort_out_external2698,e3a95abe102dda7637bf5ec4feaf4c9c42c6aafc0b91a9b66928217772925ee4,1.1961943288333714
xgb_c0_observable_provenance,0,0.0,runs/gate2g1c_unified_2d/models/leave_one_cohort_out_external2698/xgb_c0_observable_provenance/holdout/model.json,leave_one_cohort_out_external2698,c95dc90091f29141c67c7a7186e66c4c2c2b888385ff18e650966c645b96c2d0,1.17524348013103
