bytes,family,input_columns,loadability,parameters,path,rounds,scientific_status,sha256,smoke_rows,tensor_count,tensor_elements
2681090,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260721.json,500,,fd458edfd2e84b04e00b349e9dda01fdb948b267fe5f85ddb02599fb6d9d0e3a,4,,
2576521,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260722.json,500,,7c1df0d267f76ac8045a85878b3caba24d3a88c0e87b3cf10cf546d5a2c8d08a,4,,
2620955,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260723.json,500,,60188c682e0da7a9c0d5edf5dc0ce184b174c33755f444330521e3a1d4239525,4,,
2667775,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260724.json,500,,c0e61f12e6e2e7155830ee9255f1c991b6082a8c651b1d151bb3b44f63a028be,4,,
2551924,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260725.json,500,,fc3856ad94f6131e49275a6e6fe394cb434406735aceab3513556079295773e6,4,,
2627221,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260726.json,500,,4ff3c44e82a1a4601184b9ed99f911cfe74ca8841bfb2f49738eab7a3a231002,4,,
2630119,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260727.json,500,,281c4667274eb90226ab8bbd7cfd5a127fadf993057d17912fa101f9737ceda5,4,,
2541965,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260728.json,500,,97ec13f8c4c8fef97c3c028673d1732cbe419757f7552dcc0a9bb0a38902b004,4,,
2632015,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260729.json,500,,2757c903c768c175fe3f3b6add7ae838947d05f5024695dd4fc3298523231b66,4,,
2576760,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260730.json,500,,dec34633b8adb7860ddc68f3e1d8e1aa658b3154b4520879b0d45f6e4c183bc0,4,,
2646060,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260731.json,500,,0ea0f5caab70dc6b91a1c2161c2aea2c0004b7cd45619d4edf5f13a5a9098ceb,4,,
2624466,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260732.json,500,,34bedeedac222e51723c33f886500041fcf5b5bbe19ea28fa567ff34588a4628,4,,
2612055,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260733.json,500,,e612f37627c6288e77021f663916c41d7f0a3f28a34654431fc39fe63180511f,4,,
2662859,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260734.json,500,,9c8b4acf4a844ec9bc36820173358f84ac8b2a85a374fd0688e21c138f4db9df,4,,
2587856,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260735.json,500,,9786dd6a43c8fc60df1b17cd54bf56524fc9a5e5898f090cab938c571a5c1a70,4,,
2571011,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260736.json,500,,398c37ca85b179de444ff434bdc17f39a03ed9299e97cde73d25f9dee02d2925,4,,
2629053,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260737.json,500,,d826e93cb4904b9c416823d7cfa2448ab5f072d93e1228c4ff8374fb9e4d06ba,4,,
2552863,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260738.json,500,,98068d4b282de31f851085f46b005066c0a4064e1410a184ccc5a456a6c8ec1d,4,,
2615347,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260739.json,500,,5e741eac167ea2daab07bf3b8e11875f47c657d94635a5ec22fb1d8222f40c78,4,,
2629196,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/bootstrap_20260740.json,500,,cc4fa6709ef36f58969eec9b77c75f9fe4cd0db8eab075a254a8da88973afab9,4,,
2775224,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate3a1_prospective_scoring/models/final.json,500,,75261ab0ee696e9e011f81e9e5959f3dada7500e2fab4e756b819371c0a152d0,4,,
469200,m3_merged,,LOADABLE_FINITE_FORWARD,36689,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate1b3_m3_merged_seed42/best_checkpoint.pt,,,ac828c4b20977a0896e9c7200a1e9706ac1cf08639e4de1cd705596b0c010bfa,2,,
469200,m3_merged,,LOADABLE_FINITE_FORWARD,36689,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate1b3_m3_merged_seed123/best_checkpoint.pt,,,8de1a39fdd38f47fac7ce8b1f9046162deeac5e779b899d8a2289af5a1cc5da7,2,,
469200,m3_merged,,LOADABLE_FINITE_FORWARD,36689,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate1b3_m3_merged_seed456/best_checkpoint.pt,,,e400621ac7925de4684727b8dc6f21ef947d70f12cb840023447c4704e56c947,2,,
466128,m3_dau_shared,,LOADABLE_FINITE_FORWARD,36461,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate1b3_m3_dau_shared_seed42/best_checkpoint.pt,,,615de1762e3c6fdaa536538cd44f3631fbe395d5cd356ffabf0e61ce9fd06390,2,,
466128,m3_dau_shared,,LOADABLE_FINITE_FORWARD,36461,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate1b3_m3_dau_shared_seed123/best_checkpoint.pt,,,6cfe9a8b6ad0bb71f9f464c995b18da6e9ab4a1a4f054ed8aba203ed40e29a99,2,,
466128,m3_dau_shared,,LOADABLE_FINITE_FORWARD,36461,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate1b3_m3_dau_shared_seed456/best_checkpoint.pt,,,113e12956589244c24be78d9d18d68daee2e7d86aab6347818cfb5d8c28cf76a,2,,
7442253,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/acceptor_cold/M11/seed123/model.pt,,BLOCKED_RESULT_ASSET_ONLY,37afa5e274a20f06d7f7c84fb0e6651af30f4ad148ec19471b7ea46bbe121dc0,4,,
7442253,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/acceptor_cold/M11/seed42/model.pt,,BLOCKED_RESULT_ASSET_ONLY,ed6b8326691121d9d84b9c7b657eb89a8be7f93461863aa0d3e79e49dc72205a,4,,
7442253,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/acceptor_cold/M11/seed456/model.pt,,BLOCKED_RESULT_ASSET_ONLY,ace53219667214262f4a3d2a423e550aa74c432f5c2773dc8f2b7252b9a0523f,4,,
7977277,physics_multitask,,LOADABLE_FINITE_FORWARD,1986320,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/acceptor_cold/M15/seed123/model.pt,,BLOCKED_RESULT_ASSET_ONLY,3aed85d97a0e93d9d29da4b490707b0ece3e72044877431543059f2b9f4f9273,4,,
7977277,physics_multitask,,LOADABLE_FINITE_FORWARD,1986320,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/acceptor_cold/M15/seed42/model.pt,,BLOCKED_RESULT_ASSET_ONLY,675b4e6324e5b6dcaf5dd5f4d25b2ec51452303db7a5f81f844e677d5d034ffc,4,,
7977277,physics_multitask,,LOADABLE_FINITE_FORWARD,1986320,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/acceptor_cold/M15/seed456/model.pt,,BLOCKED_RESULT_ASSET_ONLY,54993de8b66e11ec8a916844eb63e0bcd623efce2feb994fb9e3979981ab0fb0,4,,
5972265,physics_multitask,,LOADABLE_FINITE_FORWARD,1490945,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/acceptor_cold/S0/seed123/model.pt,,BLOCKED_RESULT_ASSET_ONLY,adbfc0be1e68a7510e6cc53bc5749ba783f56d66ecc02d6a477706255a872aa3,4,,
5972265,physics_multitask,,LOADABLE_FINITE_FORWARD,1490945,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/acceptor_cold/S0/seed42/model.pt,,BLOCKED_RESULT_ASSET_ONLY,9a8cbdcbb198ecc83966960a9ec639a8144ec3e1e58628aca0cd7e32f9758ad4,4,,
5972265,physics_multitask,,LOADABLE_FINITE_FORWARD,1490945,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/acceptor_cold/S0/seed456/model.pt,,BLOCKED_RESULT_ASSET_ONLY,a5a280561abb65079df71d51f89625d8fbd149e9a89366d933fbe563254fc68c,4,,
7442253,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/iid/M11/seed123/model.pt,,BLOCKED_RESULT_ASSET_ONLY,c4adc7e5821be7013a4cb9c1a2562dbad72b9d4d56a96818d563896f267d5c49,4,,
7442253,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/iid/M11/seed42/model.pt,,BLOCKED_RESULT_ASSET_ONLY,4afa86f7064ec238aed8022e15bcab5397b27f3c7e6b02e454b92c699c61b43b,4,,
