arm,fold,group_macro_mae,group_macro_r2,group_macro_rmse,groups,inference_wall_seconds,model_sha256,parameter_count,peak_rss_kib,protocol,record_mae,record_r2,record_rmse,records,source_cohort_macro_mae,source_gap,source_mae,training_wall_seconds,worst_source_mae
xgb_c0_blind,0,0.10222534909580797,0.6586741140009174,0.15083971545174096,4396,0.0430233390070498,3776ade5f36c7790946e7293bd64010543765f47ddced2661e7afecaf0004c4d,XGBoost_trees_500,1138324,source_stratified_acceptor_cold_5fold,0.1021096823707805,0.6622654457536872,0.15058583828746566,4426,0.10740729129010677,0.019857857767978784,"{'external2698': 0.1154623742393082, 'new15016': 0.09560451647132942, 'old7316': 0.11115498315968272}",1.096269718836993,0.1154623742393082
xgb_c0_blind,1,0.09195815549245033,0.7145381581944947,0.12886969774315113,5176,0.03854944882914424,b862f66620d3f7d6b35f9224ce32cce4ae463ed29ac4b58e0989256961de3f50,XGBoost_trees_500,1138324,source_stratified_acceptor_cold_5fold,0.092019829810512,0.714692553831812,0.128873108722791,5272,0.09210509644731835,0.008975316116377308,"{'external2698': 0.08900858947988075, 'new15016': 0.08932279426581627, 'old7316': 0.09798390559625805}",1.0723575139418244,0.09798390559625805
xgb_c0_blind,2,0.09285635593260472,0.6919046359259613,0.1288237679435627,5622,0.042414167895913124,4e464306e348933a1b835e0bcc4653b2e149eb1556459eba7ede3d5257b07862,XGBoost_trees_500,1138324,source_stratified_acceptor_cold_5fold,0.09266930480966995,0.6940833733839558,0.12859292470655953,5649,0.08577394880226404,0.03484767925032835,"{'external2698': 0.06361278142069102, 'new15016': 0.09524860431508175, 'old7316': 0.09846046067101936}",1.1476979670114815,0.09846046067101936
xgb_c0_blind,3,0.0923123484641237,0.6866006014779282,0.12814274582646268,4798,0.04647788591682911,772cab8fd38ee391520693146c253f8f5b48cd3f903750b9a304b2be5d1e1fef,XGBoost_trees_500,1138324,source_stratified_acceptor_cold_5fold,0.09232888121877793,0.686737583748475,0.12814036990269645,4823,0.08635165870294659,0.02626698740576075,"{'external2698': 0.06898810425626885, 'new15016': 0.0952550916620296, 'old7316': 0.09481178019054132}",1.0707914801314473,0.0952550916620296
xgb_c0_blind,4,0.09391901020386077,0.6992139532137991,0.13108890347209637,4755,0.03874682914465666,85147fd73e99da07d37f5fb7d0b35c18547c0c555b2f9b7ea600262e4c185353,XGBoost_trees_500,1151064,source_stratified_acceptor_cold_5fold,0.09399614926911051,0.697217951911462,0.13107246331411498,4838,0.0977732794151737,0.015763727271744757,"{'external2698': 0.10544015846688805, 'new15016': 0.08967643119514329, 'old7316': 0.09820324858348978}",1.047445076983422,0.10544015846688805
xgb_c0_observable_provenance,0,0.09611633679206222,0.6992140562654438,0.14161327679718225,4396,0.04925099294632673,2079cdd8a2981b9704ac9d9c4c551164d8b92af59e652c85da28d14b13c323d9,XGBoost_trees_500,1151064,source_stratified_acceptor_cold_5fold,0.09598527454409388,0.7023402187723338,0.1413697408458586,4426,0.10157709133930616,0.023682848254589176,"{'external2698': 0.11566033854702994, 'new15016': 0.09197749029244076, 'old7316': 0.09709344517844781}",1.1552542741410434,0.11566033854702994
xgb_c0_observable_provenance,1,0.085455445772887,0.7500499141704967,0.12058781423489075,5176,0.04715792927891016,a349047818797fbdc54dee8e73de0f794de001206d1ad811f88f6cd3a820f00d,XGBoost_trees_500,1151064,source_stratified_acceptor_cold_5fold,0.08533940264754888,0.7512018346438986,0.12034535668500615,5272,0.08719454637350581,0.0077323145342744065,"{'external2698': 0.09201763338669125, 'new15016': 0.08428531885241684, 'old7316': 0.08528068688140933}",1.0468515250831842,0.09201763338669125
xgb_c0_observable_provenance,2,0.08680822039445314,0.7345560275068235,0.11942634232182915,5622,0.03646425390616059,40ad815f394976cf47ab340a149ae809f5e13a225675ab62f6b762701f34fa0c,XGBoost_trees_500,1151064,source_stratified_acceptor_cold_5fold,0.08668239346281387,0.7369296291642137,0.11924810922822968,5649,0.08001148114129537,0.028294729355079956,"{'external2698': 0.06442569891199738, 'new15016': 0.09272042826707734, 'old7316': 0.08288831624481142}",1.0342417056672275,0.09272042826707734
xgb_c0_observable_provenance,3,0.08781695551818237,0.7213721994319322,0.12082510182471412,4798,0.035609541926532984,964761054e65867d6ccb2c56378359abb4cf8d523d8b3b10ce0ba8b104959c77,XGBoost_trees_500,1151064,source_stratified_acceptor_cold_5fold,0.08785047465362399,0.7213312306401922,0.12085815955987851,4823,0.08259501661966974,0.021232737150369788,"{'external2698': 0.07093610267228061, 'new15016': 0.0921688398226504, 'old7316': 0.08468010736407819}",1.1536232307553291,0.0921688398226504
xgb_c0_observable_provenance,4,0.08791229104962502,0.7334332100849199,0.12327467975021428,4755,0.04683654801920056,4b44827a4bbc3e95cf6858c7aed42fed1901655899b7ba46670c2f51a88db55e,XGBoost_trees_500,1154232,source_stratified_acceptor_cold_5fold,0.08804455932880388,0.7319083854205006,0.12333547632004654,4838,0.09137989948506571,0.02730998175397878,"{'external2698': 0.10611642725216669, 'new15016': 0.08921682570484259, 'old7316': 0.07880644549818791}",1.1596030849032104,0.10611642725216669
