historical_column,new_column,admitted,feature_tier,unit,reason
pair_morgan_210,pair_morgan_210,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_211,pair_morgan_211,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_212,pair_morgan_212,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_213,pair_morgan_213,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_214,pair_morgan_214,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_215,pair_morgan_215,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_216,pair_morgan_216,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_217,pair_morgan_217,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_218,pair_morgan_218,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_219,pair_morgan_219,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_220,pair_morgan_220,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_221,pair_morgan_221,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_222,pair_morgan_222,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_223,pair_morgan_223,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_224,pair_morgan_224,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_225,pair_morgan_225,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_226,pair_morgan_226,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_227,pair_morgan_227,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_228,pair_morgan_228,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_229,pair_morgan_229,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_230,pair_morgan_230,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_231,pair_morgan_231,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_232,pair_morgan_232,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_233,pair_morgan_233,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_234,pair_morgan_234,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_235,pair_morgan_235,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_236,pair_morgan_236,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_237,pair_morgan_237,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_238,pair_morgan_238,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_239,pair_morgan_239,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_240,pair_morgan_240,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_241,pair_morgan_241,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_242,pair_morgan_242,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_243,pair_morgan_243,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_244,pair_morgan_244,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_245,pair_morgan_245,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_246,pair_morgan_246,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_247,pair_morgan_247,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_248,pair_morgan_248,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_249,pair_morgan_249,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_250,pair_morgan_250,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_251,pair_morgan_251,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_252,pair_morgan_252,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_253,pair_morgan_253,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_254,pair_morgan_254,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_255,pair_morgan_255,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_256,pair_morgan_256,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_257,pair_morgan_257,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_258,pair_morgan_258,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_259,pair_morgan_259,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_260,pair_morgan_260,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_261,pair_morgan_261,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_262,pair_morgan_262,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_263,pair_morgan_263,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_264,pair_morgan_264,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_265,pair_morgan_265,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_266,pair_morgan_266,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_267,pair_morgan_267,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_268,pair_morgan_268,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_269,pair_morgan_269,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_270,pair_morgan_270,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_271,pair_morgan_271,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_272,pair_morgan_272,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_273,pair_morgan_273,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_274,pair_morgan_274,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_275,pair_morgan_275,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_276,pair_morgan_276,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_277,pair_morgan_277,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_278,pair_morgan_278,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_279,pair_morgan_279,True,M1_C0_OPEN,dimensionless,deterministically regenerated
