sid,true_eb_eV,pred_eb_eV,target_seed42,b21_seed42_pred_eV,target_seed123,b21_seed123_pred_eV,target_seed456,b21_seed456_pred_eV,b21_three_seed_ensemble_pred_eV,cheap_abs_error_eV,b21_ensemble_abs_error_eV,abs_error_delta_cheap_minus_b21_ensemble_eV
D-82_A-276,0.9036668131839078,0.86219925,0.9036668,0.96212435,0.9036668,0.8981482,0.9036668,0.8677455,0.9093393499999999,0.041467563183907874,0.005672536816092033,0.03579502636781584
D-102_A-116,0.5617829563893145,0.6299987,0.56178296,0.5348964,0.56178296,0.5682231,0.56178296,0.5938461,0.5656552,0.0682157436106855,0.0038722436106854996,0.0643435
D-33_A-201,0.5093271783888342,0.6996181,0.5093272,0.66512,0.5093272,0.67583406,0.5093272,0.6129633,0.6513057866666667,0.1902909216111658,0.14197860827783249,0.0483123133333333
D-33_A-343,0.8217994139924067,0.86769205,0.8217994,0.8948853,0.8217994,0.8746526,0.8217994,0.80938005,0.8596393166666667,0.0458926360075933,0.03783990267425996,0.00805273333333334
D-7_A-123,0.7140190004129405,0.89251864,0.714019,0.8409983,0.714019,0.79420835,0.714019,0.84062266,0.8252764366666666,0.1784996395870595,0.11125743625372608,0.06724220333333342
D-101_A-11,0.9342912847333212,0.9790053,0.9342913,0.8821025,0.9342913,0.8657485,0.9342913,0.9337239,0.8938583000000001,0.04471401526667873,0.04043298473332113,0.004281030533357599
D-142_A-338,0.8944771393145484,0.871617,0.8944771,0.8604711,0.8944771,0.8171324,0.8944771,0.8596041,0.8457358666666667,0.022860139314548444,0.04874127264788175,-0.025881133333333306
D-155_A-177,0.9768110194131234,0.9534588,0.976811,0.69412625,0.976811,0.58646494,0.976811,0.65875876,0.6464499833333334,0.023352219413123376,0.33036103607979006,-0.3070088166666667
D-119_A-339,1.0456869253426115,1.0416871,1.045687,1.0180874,1.045687,1.0426295,1.045687,1.0378382,1.0328517,0.003999825342611452,0.012835225342611611,-0.00883540000000016
D-30_A-3,1.1593372236694264,1.1192682,1.1593373,1.1180476,1.1593373,1.0627947,1.1593373,1.0475764,1.0761395666666667,0.04006902366942633,0.08319765700275972,-0.04312863333333339
